"participant","stim_length","amount","center_to_center","w","trial_type","loop.thisN","response","key_resp.rt","starting_width_deg","starting_space_deg","response_width_degree","response_spacing_degree","next_5.rt","resp_group"
1,2.2,3,0.9,0.4,"initial",32,2,0.948319799965248,0.3,1.6,0.3,0.6,2.63158619985916,"left_right_width"
1,1.9,3,0.9,0.1,"initial",33,2,1.02499050018378,0.4,1.6,0.4,1.5,8.72643499984406,"left_right_width"
1,2.2,5,0.525,0.1,"match",34,4,1.05820259987377,0.25,0.3,0.25,0.6,3.54257460008375,"left_right_width"
1,3.7,3,1.8,0.1,"match",35,2,0.911014300072566,0.25,1.6,0.15,2.3,3.04966319981031,"left_right_width"
1,2.4,5,0.5,0.4,"initial",36,5,1.63953849999234,0.15,0.5,0.25,0.5,2.18402149993926,"left_right_width"
1,2.2,4,0.7,0.1,"initial",37,3,0.926837099948898,0.3,0.9,0.2,0.9,2.34432159992866,"left_right_width"
1,3.1,4,0.9,0.4,"initial",38,3,1.16296890005469,0.45,0.6,0.45,0.95,1.932104999898,"left_right_width"
1,2.8,4,0.9,0.1,"initial",39,3,0.752923199906945,0.35,1.2,0.15,1.2,2.22592979995534,"left_right_width"
1,2.35,4,0.7,0.25,"initial",40,3,0.960859100101516,0.1,0.6,0.25,0.8,2.32710710004903,"left_right_width"
1,1.8,4,0.466666666666667,0.4,"match",41,3,1.84868549997918,0.1,0.4,0.6,1.05,13.2754443001468,"left_right_width"
1,2.35,5,0.525,0.25,"match",42,4,7.03741049999371,0.4,0.6,0.4,0.6,0.850450500147417,"left_right_width"
1,1.75,4,0.5,0.25,"initial",43,3,1.33540269988589,0.45,0.7,0.45,0.7,0.783367699943483,"left_right_width"
1,1.25,4,0.333333333333333,0.25,"match",44,3,1.03199260006659,0.25,0.7,0.25,0.45,2.08031210000627,"left_right_width"
1,1.9,4,0.6,0.1,"match",45,3,0.721586300060153,0.35,0.9,0.1,0.75,2.3413903999608,"left_right_width"
1,1.8,3,0.7,0.4,"initial",46,2,11.8863528000657,0.3,1.6,0.3,0.8,3.08842419995926,"left_right_width"
1,1.25,3,0.5,0.25,"initial",47,2,0.701999900164083,0.4,1.6,0.4,0.7,2.52908330014907,"left_right_width"
1,2.05,4,0.6,0.25,"match",48,3,0.716263600159436,0.15,0.4,0.3,0.6,1.98000430013053,"left_right_width"
1,2.25,5,0.5,0.25,"initial",49,4,1.01010549999774,0.2,1.1,0.2,0.5,2.20116410008632,"left_right_width"
1,1.75,5,0.375,0.25,"match",50,4,0.855460699880496,0.1,0.4,0.25,0.4,4.40586899989285,"left_right_width"
